zone_id,abbreviation,gmt_offset,dst
150,HMT,5989,0
232,BMT,6264,0
82,MMT,6600,0
232,CMT,6900,0
362,IMT,7016,0
159,BDST,7200,1
114,CAT,7200,0
1,CEST,7200,1
305,CET,7200,0
131,EET,7200,0
190,IST,7200,0
225,SAST,7200,0
267,WAST,7200,1
146,WEMT,7200,1
227,WEST,7200,1
367,KMT,7324,0
333,LMT,7808,0
114,LMT,7820,0
307,SMT,8160,0
369,CUT,8400,0
190,JMT,8440,0
200,LMT,8624,0
349,LMT,8712,0
135,LMT,8836,0
135,BEAT,9000,0
306,MMT,9017,0
306,MMT,9079,0
228,LST,9394,1
135,BEAUT,9900,0
194,BMT,10656,0
308,LMT,10660,0
7,LMT,10680,0
161,TBMT,10751,0
7,AMT,10800,0
194,AST,10800,0
48,AZT,10800,0
48,BAKT,10800,0
333,CAST,10800,1
133,CEMT,10800,1
305,CEST,10800,1
135,EAT,10800,0
131,EEST,10800,1
294,EET,10800,1
305,FET,10800,0
161,GET,10800,0
190,IDT,10800,1
142,MSK,10800,0
310,SAMT,10800,0
225,SAST,10800,1
308,STAT,10800,0
16,SYOT,10800,0
161,TBIT,10800,0
362,TRT,10800,0
308,TSAT,10800,0
308,VOLT,10800,0
7,YERT,10800,0
212,LMT,11212,0
309,LMT,11532,0
48,LMT,11964,0
310,LMT,12020,0
217,LMT,12064,0
218,LMT,12324,0
195,LMT,12344,0
195,TMT,12344,0
301,LMT,12368,0
195,IRST,12600,0
306,MST,12679,1
2,LMT,13272,0
332,LMT,13308,0
302,LMT,13312,0
312,PMT,13505,0
216,LMT,13720,0
250,LMT,13800,0
359,LMT,14012,0
194,ADT,14400,1
3,AFT,14400,0
216,AKTT,14400,0
7,AMST,14400,1
7,AMT,14400,0
217,AQTT,14400,0
359,ASHT,14400,0
48,AZST,14400,1
48,AZT,14400,0
48,BAKST,14400,1
48,BAKT,14400,0
217,FORT,14400,0
161,GEST,14400,1
161,GET,14400,0
2,GST,14400,0
190,IDDT,14400,1
195,IRST,14400,0
215,KIZT,14400,0
310,KUYT,14400,0
142,MSD,14400,1
306,MSK,14400,0
250,MUT,14400,0
218,ORAT,14400,0
302,RET,14400,0
310,SAMST,14400,1
310,SAMT,14400,0
332,SCT,14400,0
308,STAT,14400,0
312,SVET,14400,0
161,TBIST,14400,1
161,TBIT,14400,0
359,TMT,14400,0
362,TRST,14400,1
218,URAT,14400,0
308,VOLST,14400,1
308,VOLT,14400,0
7,YERST,14400,1
7,YERT,14400,0
312,LMT,14553,0
215,LMT,15712,0
404,LMT,16073,0
289,LMT,16092,0
3,AFT,16200,0
195,IRDT,16200,1
306,MDST,16279,1
356,LMT,16512,0
405,LMT,16631,0
193,LMT,17380,0
313,LMT,17610,0
251,MMT,17640,0
203,LMT,17904,0
216,AKTT,18000,0
214,ALMT,18000,0
7,AMST,18000,1
217,AQTST,18000,1
216,AQTT,18000,0
359,ASHST,18000,1
359,ASHT,18000,0
48,AZST,18000,1
48,BAKST,18000,1
11,DAVT,18000,0
356,DUST,18000,0
217,FORT,18000,0
203,FRUT,18000,0
161,GEST,18000,1
193,IOT,18000,0
195,IRDT,18000,1
289,KART,18000,0
203,KGT,18000,0
215,KIZT,18000,0
310,KUYST,18000,1
13,MAWT,18000,0
306,MSM,18000,1
250,MUST,18000,1
251,MVT,18000,0
313,OMST,18000,0
218,ORAST,18000,1
218,ORAT,18000,0
289,PKT,18000,0
215,QYZT,18000,0
310,SAMST,18000,1
404,SAMT,18000,0
217,SHET,18000,0
312,SVEST,18000,1
312,SVET,18000,0
405,TAST,18000,0
161,TBIST,18000,1
353,TFT,18000,0
356,TJT,18000,0
359,TMT,18000,0
218,URAST,18000,1
218,URAT,18000,0
404,UZT,18000,0
308,VOLST,18000,1
312,YEKT,18000,0
7,YERST,18000,1
214,LMT,18468,0
223,MMT,19172,0
192,IST,19800,0
314,LMT,19900,0
315,LMT,20100,0
275,LMT,20476,0
275,NPT,20700,0
316,LMT,20928,0
124,LMT,21020,0
192,HMT,21200,0
80,LMT,21516,0
216,AKTST,21600,1
216,AKTT,21600,0
214,ALMT,21600,0
216,AQTST,21600,1
359,ASHST,21600,1
51,BDT,21600,0
80,BTT,21600,0
51,DACT,21600,0
356,DUSST,21600,1
356,DUST,21600,0
203,FRUST,21600,1
203,FRUT,21600,0
242,HOVT,21600,0
223,IHST,21600,1
193,IOT,21600,0
203,KGST,21600,1
203,KGT,21600,0
215,KIZST,21600,1
215,KIZT,21600,0
316,KRAT,21600,0
223,LKT,21600,0
13,MAWT,21600,0
314,NOVT,21600,0
313,OMSST,21600,1
313,OMST,21600,0
289,PKST,21600,1
215,QYZT,21600,0
404,SAMST,21600,1
217,SHEST,21600,1
217,SHET,21600,0
312,SVEST,21600,1
405,TASST,21600,1
404,TAST,21600,0
218,URAST,21600,1
218,URAT,21600,0
404,UZST,21600,1
18,VOST,21600,0
124,XJT,21600,0
312,YEKST,21600,1
312,YEKT,21600,0
242,LMT,21996,0
317,LMT,22286,0
240,RMT,23080,0
192,BURT,23400,0
112,CCT,23400,0
192,IST,23400,1
223,LKT,23400,0
240,MMT,23400,0
204,BMT,24124,0
264,SMT,24925,0
318,IMT,25025,0
214,ALMST,25200,1
51,BDST,25200,1
130,CXT,25200,0
11,DAVT,25200,0
356,DUSST,25200,1
203,FRUST,25200,1
242,HOVT,25200,0
204,ICT,25200,0
318,IRKT,25200,0
316,KRAST,25200,1
316,KRAT,25200,0
264,MALT,25200,0
314,NOVST,25200,1
314,NOVT,25200,0
313,OMSST,25200,1
313,OMST,25200,0
215,QYZST,25200,1
405,TASST,25200,1
241,ULAT,25200,0
185,WIB,25200,0
411,LMT,25600,0
185,BMT,25632,0
241,LMT,25652,0
186,LMT,26240,0
186,PMT,26240,0
185,JAVT,26400,0
264,MALST,26400,1
264,MALT,26400,0
265,LMT,26480,0
60,BNT,27000,0
265,BORT,27000,0
264,MALT,27000,0
335,SGT,27000,0
185,WIB,27000,0
319,LMT,27232,0
244,LMT,27260,0
180,LMT,27402,0
243,LMT,27480,0
60,LMT,27580,0
187,LMT,28656,0
187,MMT,28656,0
10,AWST,28800,0
60,BNT,28800,0
265,BORT,28800,0
243,CHOT,28800,0
123,CST,28800,0
180,HKT,28800,0
242,HOVST,28800,1
411,IDT,28800,0
318,IRKST,28800,1
318,IRKT,28800,0
365,JWST,28800,0
316,KRAST,28800,1
317,KRAT,28800,0
244,MOT,28800,0
264,MYT,28800,0
314,NOVST,28800,1
288,PHT,28800,0
335,SGT,28800,0
358,TLT,28800,0
241,ULAT,28800,0
185,WIB,28800,0
186,WITA,28800,0
319,YAKT,28800,0
265,BORTST,30000,1
358,LMT,30140,0
210,LMT,30180,0
211,LMT,30472,0
210,KST,30600,0
320,LMT,31138,0
45,ACWST,31500,0
322,LMT,31651,0
44,AWDT,32400,1
123,CDT,32400,1
243,CHOST,32400,1
243,CHOT,32400,0
180,HKST,32400,1
318,IRKST,32400,1
318,IRKT,32400,0
201,JCST,32400,0
180,JST,32400,0
210,KST,32400,0
244,MOST,32400,1
288,PHST,32400,1
299,PWT,32400,0
358,TLT,32400,0
241,ULAST,32400,1
322,VLAT,32400,0
188,WIT,32400,0
319,YAKST,32400,1
319,YAKT,32400,0
321,LMT,32533,0
188,LMT,33768,0
